smiles_canonical,activity_label,MolWt,LogP,TPSA,HBD,HBA,RB
O=C(NC1CCOC1=O)c1ccc(-n2cc(CSc3ccccc3)nn2)cc1,1,394.4560000000001,2.6049000000000007,86.11,1,7,6
CCCCCCCCCC(=O)CC(=O)OC1CCOC1=O,0,298.379,2.945000000000001,69.67000000000002,0,5,11
O=C(CCCCCCCCCCN=C=S)CC(=O)NC1CCOC1=O,0,368.4990000000001,2.9910000000000005,84.83,1,6,14
CCCCCCCCCNC(=O)CC(=O)Cc1ccccc1,0,303.44599999999997,4.055100000000003,46.17,1,2,12
CCCCCCCS(=O)CC(=O)NC1CCOC1=O,0,289.39700000000005,1.1371999999999998,72.47,1,4,9
O=C(CCc1cccc(I)c1)NC1CCOC1=O,1,359.16299999999995,1.6554999999999995,55.4,1,3,4
O=C(COc1ccc(I)cc1)NC1CCOC1=O,1,361.135,1.1016999999999992,64.63,1,4,4
O=C(COc1ccc(Br)cc1)NC1CCOC1=O,1,314.135,1.2595999999999992,64.63,1,4,4
O=C(CCc1ccc(Cl)cc1)NC1CCOC1=O,1,267.712,1.7042999999999997,55.4,1,3,4
O=C(CCc1ccc([N+](=O)[O-])cc1)NC1CCOC1=O,1,278.264,0.9590999999999996,98.53999999999999,1,5,5
O=C(CCc1cccc(Br)c1)NC1CCOC1=O,1,312.16299999999995,1.8133999999999995,55.4,1,3,4
O=C(CCc1cccc([N+](=O)[O-])c1)NC1CCOC1=O,1,278.264,0.9590999999999996,98.53999999999999,1,5,5
O=C(CCc1ccc2c(c1)OCO2)NC1CCOC1=O,1,277.276,0.7795999999999996,73.86,1,5,4
Cc1ccc(CCC(=O)NC2CCOC2=O)cc1,1,247.29399999999998,1.3593199999999999,55.4,1,3,4
O=C(COc1ccc(Cl)cc1)NC1CCOC1=O,1,269.68399999999997,1.1504999999999992,64.63,1,4,4
COc1ccc(CCC(=O)NC2CCOC2=O)cc1,1,263.29299999999995,1.0594999999999999,64.63,1,4,5
Cc1cccc(OCC(=O)NC2CCOC2=O)c1,1,249.26599999999996,0.8055199999999996,64.63,1,4,4
Cc1cccc(CCC(=O)NC2CCOC2=O)c1,1,247.29399999999995,1.3593199999999999,55.4,1,3,4
O=C1C[C@@H](c2ccc(O)c(O)c2)Oc2cc(O)cc(O)c21,0,288.255,2.2155000000000022,107.22000000000001,4,6,1
O=C1C(O)c2c(O)cc(O)cc2OC1c1ccc(O)c(O)c1,0,304.254,1.2452000000000005,127.45000000000002,5,7,1
O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,0,272.256,2.5099000000000022,86.99000000000001,3,5,1
O=C(Cc1cc(Br)cc(Br)c1OCCCN=C=S)Nc1ccccc1[N+](=O)[O-],0,529.2100000000002,5.172700000000003,93.83,1,6,9
O=C(CCCN1C(=O)C=CC1=O)Oc1c(Br)cc(Br)cc1CNC(=O)c1ccccc1[N+](=O)[O-],1,595.2000000000003,3.660400000000002,135.92000000000002,1,7,9
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCN1C(=O)C=CC1=O)Nc1ccccc1[N+](=O)[O-],1,581.1730000000002,3.5215000000000014,135.92000000000002,1,7,8
O=C(CCN1C(=O)C=CC1=O)Oc1c(Br)cc(Br)cc1CNC(=O)c1ccccc1[N+](=O)[O-],0,581.1730000000002,3.2703000000000015,135.92000000000002,1,7,8
O=C(CCl)NCC(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc1ccccc1[N+](=O)[O-],0,563.5860000000001,3.5614000000000017,127.64000000000001,2,6,8
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCCN1C(=O)C=CC1=O)Nc1ccccc1[N+](=O)[O-],0,595.2000000000003,3.9116000000000026,135.92000000000002,1,7,9
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CN1C(=O)C=CC1=O)Nc1ccccc1[N+](=O)[O-],0,567.1460000000002,3.131400000000001,135.92000000000002,1,7,7
O=C(CCl)NCCC(=O)Oc1c(Br)cc(Br)cc1CC(=O)Nc1ccccc1[N+](=O)[O-],0,577.6130000000002,3.951500000000002,127.64000000000001,2,6,9
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCn1c(O)ccc1O)Nc1ccccc1[N+](=O)[O-],0,583.1890000000001,4.509400000000003,143.93,3,8,8
O=C(Cc1cc(Br)cc(Br)c1OCCCCN=C=S)Nc1ccccc1[N+](=O)[O-],0,543.2370000000002,5.562800000000004,93.83,1,6,10
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCCN=C=S)Nc1ccccc1[N+](=O)[O-],0,557.2200000000003,5.089400000000003,110.9,1,7,9
O=C(CCCN=C=S)Oc1c(Br)cc(Br)cc1CNC(=O)c1ccccc1[N+](=O)[O-],0,557.2200000000003,4.838200000000003,110.9,1,7,9
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCN1C(=O)C=CC1=O)NC1CCOC1=O,0,544.1520000000002,1.4062999999999997,119.07999999999998,1,7,7
O=C(CCCN1C(=O)C=CC1=O)Oc1c(Br)cc(Br)cc1CNC(=O)c1ccccn1,0,551.1910000000003,3.1472000000000016,105.66999999999999,1,6,8
O=C(Cc1cc(Br)cc(Br)c1OC(=O)CCCN1C(=O)C=CC1=O)NC1CCOC1=O,0,558.1790000000002,1.7963999999999996,119.07999999999998,1,7,8
CCCCCCCC(=O)NC1CCSC1=O,1,243.37199999999999,2.4952000000000005,46.17,1,3,7
O=C(Cc1ccc(Br)cc1)NC1CCSC1=O,1,314.20399999999995,2.1399,46.17,1,3,3
CCCCCCC(=O)NC1CCSC1=O,1,229.34499999999997,2.1051,46.17,1,3,6
CCCCCC(=O)NC1CCSC1=O,1,215.31799999999996,1.7149999999999999,46.17,1,3,5
